purchase_id,customer_id,item,amount
1,135,Pulsa GiffGaff,364000.0
2,326,Pulsa GiffGaff,167000.0
3,668,Payment PLN,85000.0
4,719,Topup E-money,429000.0
5,772,Pulsa GiffGaff,277000.0
6,11,Payment PDAM,177000.0
7,792,Payment PDAM,372000.0
8,20,Pulsa GiffGaff,354000.0
9,300,Topup E-money,284000.0
10,801,Pulsa GiffGaff,331000.0
11,67,Pulsa GiffGaff,69000.0
12,762,Pulsa GiffGaff,44000.0
13,545,Topup E-money,441000.0
14,575,Topup E-money,478000.0
15,70,Payment PLN,413000.0
16,29,Pulsa GiffGaff,250000.0
17,84,Topup E-money,198000.0
18,586,Payment PDAM,358000.0
19,150,Payment PDAM,248000.0
20,85,Pulsa GiffGaff,91000.0
21,217,Payment PDAM,249000.0
22,842,Payment PDAM,208000.0
23,990,Payment PDAM,29000.0
24,339,Payment PDAM,289000.0
25,64,Payment PLN,313000.0
26,505,Pulsa GiffGaff,274000.0
27,667,Payment PDAM,488000.0
28,938,Pulsa GiffGaff,276000.0
29,378,Payment PLN,288000.0
30,879,Pulsa GiffGaff,103000.0
31,463,Payment PLN,326000.0
32,438,Topup E-money,218000.0
33,828,Pulsa GiffGaff,417000.0
34,675,Pulsa GiffGaff,104000.0
35,393,Topup E-money,148000.0
36,182,Topup E-money,121000.0
37,377,Payment PLN,378000.0
38,990,Payment PLN,175000.0
39,585,Topup E-money,38000.0
40,478,Topup E-money,184000.0
41,885,Payment PLN,296000.0
42,11,Topup E-money,266000.0
43,201,Topup E-money,321000.0
44,112,Topup E-money,267000.0
45,32,Payment PLN,345000.0
46,192,Topup E-money,58000.0
47,729,Topup E-money,376000.0
48,59,Payment PDAM,188000.0
49,985,Pulsa GiffGaff,191000.0
50,442,Topup E-money,247000.0
51,433,Topup E-money,419000.0
52,146,Topup E-money,21000.0
53,958,Pulsa GiffGaff,35000.0
54,16,Topup E-money,97000.0
55,215,Payment PDAM,18000.0
56,23,Payment PLN,390000.0
57,909,Payment PLN,409000.0
58,792,Payment PLN,484000.0
59,206,Topup E-money,422000.0
60,640,Payment PLN,103000.0
61,906,Pulsa GiffGaff,465000.0
62,411,Payment PLN,338000.0
63,452,Payment PDAM,142000.0
64,183,Pulsa GiffGaff,410000.0
65,139,Payment PLN,271000.0
66,854,Topup E-money,195000.0
67,797,Pulsa GiffGaff,493000.0
68,776,Topup E-money,464000.0
69,354,Pulsa GiffGaff,176000.0
70,267,Pulsa GiffGaff,483000.0
71,832,Topup E-money,439000.0
72,614,Topup E-money,399000.0
73,102,Payment PDAM,307000.0
74,899,Payment PDAM,405000.0
75,975,Payment PLN,129000.0
76,135,Topup E-money,262000.0
77,874,Topup E-money,420000.0
78,80,Topup E-money,284000.0
79,111,Payment PDAM,94000.0
80,394,Payment PDAM,306000.0
81,569,Topup E-money,451000.0
82,257,Payment PLN,428000.0
83,260,Payment PLN,322000.0
84,264,Topup E-money,235000.0
85,558,Topup E-money,347000.0
86,424,Pulsa GiffGaff,460000.0
87,517,Topup E-money,409000.0
88,923,Payment PDAM,453000.0
89,837,Pulsa GiffGaff,210000.0
90,549,Payment PLN,26000.0
91,413,Topup E-money,299000.0
92,911,Topup E-money,283000.0
93,187,Payment PDAM,452000.0
94,590,Pulsa GiffGaff,271000.0
95,273,Payment PLN,44000.0
96,277,Payment PDAM,331000.0
97,370,Pulsa GiffGaff,98000.0
98,529,Payment PLN,253000.0
99,697,Pulsa GiffGaff,52000.0
100,855,Payment PDAM,224000.0
101,238,Pulsa GiffGaff,20000.0
102,321,Payment PLN,309000.0
103,134,Pulsa GiffGaff,399000.0
104,680,Topup E-money,47000.0
105,325,Topup E-money,338000.0
106,764,Pulsa GiffGaff,317000.0
107,136,Topup E-money,191000.0
108,79,Payment PLN,310000.0
109,834,Payment PDAM,462000.0
110,994,Payment PLN,269000.0
111,209,Payment PDAM,137000.0
112,249,Payment PLN,265000.0
113,412,Pulsa GiffGaff,128000.0
114,307,Topup E-money,448000.0
115,510,Payment PDAM,341000.0
116,166,Pulsa GiffGaff,172000.0
117,348,Topup E-money,355000.0
118,557,Payment PDAM,170000.0
119,862,Topup E-money,27000.0
120,227,Payment PDAM,437000.0
121,956,Pulsa GiffGaff,71000.0
122,380,Topup E-money,278000.0
123,625,Payment PLN,100000.0
124,767,Payment PLN,207000.0
125,697,Pulsa GiffGaff,417000.0
126,668,Payment PDAM,10000.0
127,318,Payment PDAM,482000.0
128,629,Topup E-money,106000.0
129,551,Payment PLN,469000.0
130,620,Payment PDAM,403000.0
131,914,Pulsa GiffGaff,121000.0
132,50,Topup E-money,73000.0
133,199,Pulsa GiffGaff,238000.0
134,351,Payment PLN,124000.0
135,910,Topup E-money,227000.0
136,644,Payment PDAM,390000.0
137,622,Payment PLN,91000.0
138,606,Payment PDAM,327000.0
139,411,Payment PDAM,72000.0
140,416,Payment PDAM,254000.0
141,386,Payment PLN,356000.0
142,939,Topup E-money,288000.0
143,203,Payment PDAM,48000.0
144,549,Payment PLN,363000.0
145,220,Payment PLN,486000.0
146,5,Topup E-money,242000.0
147,8,Payment PDAM,411000.0
148,533,Payment PLN,128000.0
149,496,Payment PLN,111000.0
150,581,Pulsa GiffGaff,86000.0
151,988,Payment PDAM,234000.0
152,214,Payment PDAM,122000.0
153,575,Topup E-money,480000.0
154,131,Topup E-money,173000.0
155,246,Pulsa GiffGaff,312000.0
156,547,Topup E-money,350000.0
157,27,Pulsa GiffGaff,292000.0
158,304,Payment PDAM,62000.0
159,161,Topup E-money,464000.0
160,694,Payment PDAM,200000.0
161,546,Payment PLN,494000.0
162,877,Payment PLN,490000.0
163,579,Pulsa GiffGaff,92000.0
164,860,Payment PLN,456000.0
165,765,Topup E-money,193000.0
166,202,Topup E-money,224000.0
167,893,Pulsa GiffGaff,468000.0
168,692,Topup E-money,177000.0
169,527,Payment PLN,248000.0
170,281,Topup E-money,67000.0
171,193,Payment PLN,323000.0
172,103,Payment PDAM,312000.0
173,734,Payment PDAM,126000.0
174,659,Pulsa GiffGaff,321000.0
175,705,Payment PDAM,464000.0
176,953,Pulsa GiffGaff,339000.0
177,383,Pulsa GiffGaff,368000.0
178,131,Payment PDAM,53000.0
179,257,Pulsa GiffGaff,300000.0
180,810,Pulsa GiffGaff,367000.0
181,545,Topup E-money,67000.0
182,329,Payment PLN,297000.0
183,713,Topup E-money,469000.0
184,470,Topup E-money,240000.0
185,150,Topup E-money,278000.0
186,81,Topup E-money,182000.0
187,939,Pulsa GiffGaff,287000.0
188,655,Topup E-money,112000.0
189,249,Payment PDAM,23000.0
190,496,Pulsa GiffGaff,171000.0
191,628,Topup E-money,410000.0
192,129,Topup E-money,268000.0
193,529,Payment PDAM,39000.0
194,253,Payment PLN,461000.0
195,591,Pulsa GiffGaff,346000.0
196,653,Payment PDAM,14000.0
197,104,Payment PDAM,65000.0
198,742,Payment PLN,464000.0
199,366,Payment PLN,78000.0
200,444,Payment PLN,50000.0
201,96,Pulsa GiffGaff,192000.0
202,980,Pulsa GiffGaff,258000.0
203,659,Payment PDAM,354000.0
204,123,Payment PLN,120000.0
205,520,Topup E-money,201000.0
206,30,Payment PDAM,146000.0
207,457,Topup E-money,141000.0
208,175,Topup E-money,422000.0
209,727,Topup E-money,208000.0
210,781,Payment PLN,484000.0
211,672,Topup E-money,292000.0
212,735,Payment PDAM,328000.0
213,402,Payment PDAM,289000.0
214,943,Payment PDAM,70000.0
215,37,Payment PLN,43000.0
216,521,Payment PLN,457000.0
217,956,Pulsa GiffGaff,212000.0
218,51,Topup E-money,238000.0
219,366,Payment PLN,443000.0
220,958,Pulsa GiffGaff,448000.0
221,610,Payment PDAM,13000.0
222,913,Topup E-money,76000.0
223,750,Payment PLN,355000.0
224,113,Payment PDAM,28000.0
225,372,Payment PLN,455000.0
226,43,Payment PLN,393000.0
227,958,Topup E-money,131000.0
228,804,Payment PDAM,149000.0
229,288,Pulsa GiffGaff,83000.0
230,898,Topup E-money,438000.0
231,72,Payment PDAM,251000.0
232,466,Payment PDAM,71000.0
233,867,Pulsa GiffGaff,127000.0
234,31,Payment PDAM,93000.0
235,875,Payment PDAM,385000.0
236,799,Topup E-money,284000.0
237,408,Topup E-money,101000.0
238,118,Topup E-money,305000.0
239,441,Payment PDAM,282000.0
240,399,Pulsa GiffGaff,414000.0
241,777,Payment PDAM,78000.0
242,993,Pulsa GiffGaff,366000.0
243,341,Pulsa GiffGaff,94000.0
244,950,Payment PLN,93000.0
245,848,Topup E-money,333000.0
246,501,Topup E-money,135000.0
247,561,Payment PDAM,389000.0
248,967,Topup E-money,122000.0
249,679,Topup E-money,276000.0
250,823,Topup E-money,69000.0
251,983,Payment PDAM,382000.0
252,292,Pulsa GiffGaff,43000.0
253,511,Payment PLN,235000.0
254,743,Pulsa GiffGaff,463000.0
255,938,Pulsa GiffGaff,178000.0
256,98,Topup E-money,267000.0
257,893,Payment PDAM,406000.0
258,857,Payment PLN,355000.0
259,441,Payment PLN,189000.0
260,3,Topup E-money,115000.0
261,166,Topup E-money,99000.0
262,712,Topup E-money,332000.0
263,612,Topup E-money,63000.0
264,600,Pulsa GiffGaff,24000.0
265,628,Payment PDAM,8000.0
266,727,Topup E-money,81000.0
267,350,Pulsa GiffGaff,359000.0
268,67,Payment PDAM,134000.0
269,996,Payment PLN,57000.0
270,917,Payment PDAM,499000.0
271,68,Payment PDAM,43000.0
272,843,Payment PDAM,86000.0
273,801,Payment PLN,408000.0
274,130,Payment PDAM,255000.0
275,485,Pulsa GiffGaff,490000.0
276,116,Pulsa GiffGaff,127000.0
277,388,Topup E-money,61000.0
278,155,Topup E-money,309000.0
279,666,Pulsa GiffGaff,70000.0
280,262,Payment PLN,404000.0
281,983,Topup E-money,476000.0
282,914,Payment PDAM,44000.0
283,746,Topup E-money,90000.0
284,462,Pulsa GiffGaff,363000.0
285,582,Payment PDAM,419000.0
286,683,Topup E-money,315000.0
287,722,Pulsa GiffGaff,437000.0
288,720,Pulsa GiffGaff,163000.0
289,816,Payment PLN,165000.0
290,50,Pulsa GiffGaff,109000.0
291,854,Pulsa GiffGaff,401000.0
292,910,Payment PLN,474000.0
293,621,Payment PLN,319000.0
294,516,Payment PLN,262000.0
295,958,Topup E-money,257000.0
296,703,Topup E-money,9000.0
297,195,Payment PLN,397000.0
298,363,Topup E-money,166000.0
299,353,Pulsa GiffGaff,443000.0
300,938,Pulsa GiffGaff,402000.0
301,78,Pulsa GiffGaff,367000.0
302,300,Topup E-money,318000.0
303,98,Payment PDAM,307000.0
304,97,Pulsa GiffGaff,10000.0
305,702,Topup E-money,87000.0
306,915,Payment PLN,191000.0
307,194,Payment PDAM,95000.0
308,339,Payment PDAM,110000.0
309,832,Topup E-money,106000.0
310,795,Pulsa GiffGaff,134000.0
311,321,Payment PLN,68000.0
312,719,Payment PLN,489000.0
313,544,Payment PLN,162000.0
314,800,Payment PDAM,437000.0
315,11,Topup E-money,11000.0
316,591,Payment PLN,316000.0
317,50,Payment PDAM,387000.0
318,297,Payment PLN,307000.0
319,770,Payment PLN,252000.0
320,949,Topup E-money,456000.0
321,643,Topup E-money,50000.0
322,375,Pulsa GiffGaff,433000.0
323,47,Payment PDAM,436000.0
324,591,Payment PLN,474000.0
325,314,Payment PLN,377000.0
326,399,Topup E-money,10000.0
327,234,Topup E-money,97000.0
328,78,Pulsa GiffGaff,295000.0
329,332,Topup E-money,376000.0
330,427,Payment PLN,409000.0
331,571,Payment PLN,51000.0
332,506,Pulsa GiffGaff,442000.0
333,348,Topup E-money,81000.0
334,567,Payment PLN,412000.0
335,563,Topup E-money,277000.0
336,590,Payment PLN,160000.0
337,734,Payment PLN,408000.0
338,650,Payment PLN,104000.0
339,537,Pulsa GiffGaff,38000.0
340,206,Pulsa GiffGaff,146000.0
341,732,Payment PDAM,480000.0
342,799,Topup E-money,10000.0
343,690,Pulsa GiffGaff,136000.0
344,790,Pulsa GiffGaff,211000.0
345,200,Payment PDAM,156000.0
346,414,Topup E-money,28000.0
347,890,Pulsa GiffGaff,27000.0
348,2,Payment PLN,138000.0
