Date,Product Category,Region,Sales Amount (IDR)
2023-01-10 17:29:29.410973,Offline Payments/QRIS,West Java,414483.0
2022-12-11 17:29:29.410974,Offline Payments/QRIS,Central Java,577057.0
2022-11-11 17:29:29.410975,Offline Payments/QRIS,Central Java,369003.0
2023-08-08 17:29:29.410965,Send Money,East Java,539720.0
2023-08-08 17:29:29.410965,Send Money,West Java,451355.0
2022-09-12 17:29:29.410977,Prepaid Pulsa,East Java,538530.0
2022-05-15 17:29:29.410980,Postpaid Biller,West Java,44822.0
2021-05-20 17:29:29.410991,Postpaid Biller,East Java,578123.0
2019-12-27 17:29:29.411006,Offline Payments/QRIS,Jabodetabek,815939.0
2019-12-27 17:29:29.411006,Offline Payments/QRIS,Central Java,486733.0
2021-01-20 17:29:29.410995,Prepaid Pulsa,Central Java,52381.0
2020-02-25 17:29:29.411004,Send Money,Central Java,537410.0
2019-06-30 17:29:29.411011,Offline Payments/QRIS,Jabodetabek,339721.0
2023-07-09 17:29:29.410967,Postpaid Biller,Central Java,224959.0
2020-10-22 17:29:29.410997,Send Money,West Java,254370.0
2022-04-15 17:29:29.410981,Send Money,East Java,778979.0
2023-04-10 17:29:29.410970,Send Money,Jabodetabek,390685.0
2020-05-25 17:29:29.411002,Send Money,Jabodetabek,141682.0
2021-10-17 17:29:29.410986,Prepaid Pulsa,East Java,428506.0
2022-07-14 17:29:29.410979,Prepaid Pulsa,Jabodetabek,524893.0
2022-11-11 17:29:29.410975,Prepaid Pulsa,Jabodetabek,767097.0
2023-04-10 17:29:29.410970,Prepaid Pulsa,Central Java,944884.0
2022-03-16 17:29:29.410982,Prepaid Pulsa,East Java,832616.0
2018-11-02 17:29:29.411019,Prepaid Pulsa,Central Java,527757.0
2020-04-25 17:29:29.411003,Send Money,East Java,880685.0
2019-12-27 17:29:29.411006,Send Money,Jabodetabek,566380.0
2022-03-16 17:29:29.410982,Prepaid Pulsa,West Java,541955.0
2019-08-29 17:29:29.411010,Prepaid Pulsa,Central Java,879818.0
2020-07-24 17:29:29.411000,Postpaid Biller,East Java,250617.0
2019-05-31 17:29:29.411012,Offline Payments/QRIS,Jabodetabek,312953.0
2020-08-23 17:29:29.410999,Postpaid Biller,West Java,855670.0
2020-03-26 17:29:29.411004,Send Money,East Java,884377.0
2019-11-27 17:29:29.411007,Prepaid Pulsa,East Java,558512.0
2019-04-01 17:29:29.411014,Postpaid Biller,Central Java,235754.0
2020-03-26 17:29:29.411004,Postpaid Biller,West Java,809346.0
2020-12-21 17:29:29.410996,Prepaid Pulsa,Central Java,21998.0
2019-09-28 17:29:29.411009,Postpaid Biller,Central Java,45858.0
2020-08-23 17:29:29.410999,Prepaid Pulsa,East Java,361565.0
2020-04-25 17:29:29.411003,Send Money,Central Java,128114.0
2022-05-15 17:29:29.410980,Prepaid Pulsa,East Java,824752.0
2021-01-20 17:29:29.410995,Send Money,West Java,612493.0
2020-11-21 17:29:29.410997,Prepaid Pulsa,West Java,639623.0
2022-03-16 17:29:29.410982,Offline Payments/QRIS,East Java,554842.0
2019-01-31 17:29:29.411016,Send Money,East Java,623640.0
2022-07-14 17:29:29.410979,Offline Payments/QRIS,East Java,732014.0
2023-02-09 17:29:29.410972,Offline Payments/QRIS,West Java,93862.0
2019-07-30 17:29:29.411010,Send Money,East Java,771269.0
2021-12-16 17:29:29.410985,Postpaid Biller,Central Java,803415.0
2022-03-16 17:29:29.410982,Offline Payments/QRIS,East Java,176886.0
2018-12-02 17:29:29.411018,Offline Payments/QRIS,Central Java,364872.0
2023-07-09 17:29:29.410967,Send Money,West Java,350164.0
